County Name,Population(2019),Growth Rate(from 2010)
Miami-Dade County,2761581,10.152
Broward County,1951260,11.3203
Palm Beach County,1485941,12.261
Hillsborough County,1436888,16.4895
Orange County,1380645,20.2032
Pinellas County,975280,6.4224
Duval County,950181,9.7667
Lee County,754610,21.6222
Polk County,708009,17.3895
Brevard County,596849,9.7205
Volusia County,547538,10.7379
Pasco County,539630,15.9283
Seminole County,467832,10.5837
Sarasota County,426718,12.3128
Manatee County,394855,22.0847
Collier County,378488,17.3261
Osceola County,367990,36.3729
Marion County,359977,8.6428
Lake County,356495,19.7465
St. Lucie County,321128,15.4016
Escambia County,315534,5.87
Leon County,292502,5.9909
Alachua County,269956,9.0234
St. Johns County,254261,32.9518
Clay County,216072,12.8702
Okaloosa County,207269,14.6939
Hernando County,190865,10.3483
Bay County,185287,9.5044
Charlotte County,184998,15.7199
Santa Rosa County,179349,17.2921
Martin County,160912,9.5265
Indian River County,157413,13.843
Citrus County,147929,4.7871
Sumter County,128754,36.5684
Flagler County,112067,16.6429
Highlands County,105424,6.884
Nassau County,85832,16.7576
Monroe County,75027,2.4679
Putnam County,74163,-0.0593
Walton County,71375,29.2768
Columbia County,70503,4.3669
Jackson County,48305,-2.7011
Gadsden County,45894,-3.9734
Suwannee County,44191,4.3964
Hendry County,41556,6.5183
Okeechobee County,41537,3.7699
Levy County,40770,0.1154
DeSoto County,37489,7.3169
Wakulla County,32461,5.3074
Baker County,28355,4.7779
Bradford County,27732,-2.8175
Hardee County,27245,-1.7277
Washington County,24880,0.6391
Taylor County,21623,-4.2807
Holmes County,19477,-1.8544
Madison County,18529,-3.7555
Gilchrist County,18256,7.3946
Dixie County,16700,1.8231
Gulf County,16164,2.1551
Union County,14940,-3.8857
Calhoun County,14587,-0.4028
Hamilton County,14310,-2.5404
Jefferson County,14288,-3.1585
Glades County,13724,6.6356
Franklin County,11736,1.8573
Lafayette County,8732,-0.8854
Liberty County,8457,1.3057
