,County,County Code,Year,Year Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,State
508,Bay County,12005.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,FL
512,Brevard County,12009.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,96.0,FL
513,Brevard County,12009.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,15.0,FL
516,Broward County,12011.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,190.0,FL
517,Broward County,12011.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,59.0,FL
518,Broward County,12011.0,2004.0,2004.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,23.0,FL
523,Charlotte County,12015.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,FL
526,Citrus County,12017.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,FL
529,Clay County,12019.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,FL
531,Collier County,12021.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,FL
537,Duval County,12031.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,91.0,FL
538,Duval County,12031.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,18.0,FL
541,Escambia County,12033.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0,FL
553,Hernando County,12053.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,FL
558,Hillsborough County,12057.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,127.0,FL
559,Hillsborough County,12057.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,19.0,FL
563,Indian River County,12061.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,FL
569,Lake County,12069.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,FL
572,Lee County,12071.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,81.0,FL
573,Lee County,12071.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,17.0,FL
581,Manatee County,12081.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,46.0,FL
584,Marion County,12083.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,FL
587,Martin County,12085.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,FL
590,Miami-Dade County,12086.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,99.0,FL
591,Miami-Dade County,12086.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,24.0,FL
595,Monroe County,12087.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,FL
598,Nassau County,12089.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,FL
600,Okaloosa County,12091.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,FL
604,Orange County,12095.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,75.0,FL
605,Orange County,12095.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,22.0,FL
