,County,County Code,Year,Year Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,State
1,Baldwin County,1003.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,AL
38,Jefferson County,1073.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,42.0,AL
49,Madison County,1089.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,AL
54,Mobile County,1097.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0,AL
58,Montgomery County,1101.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,AL
61,Morgan County,1103.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,AL
79,Anchorage Borough,2020.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0,AK
88,Kenai Peninsula Borough,2122.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,AK
116,Maricopa County,4013.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,320.0,AZ
117,Maricopa County,4013.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,65.0,AZ
118,Maricopa County,4013.0,2004.0,2004.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,32.0,AZ
122,Mohave County,4015.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,AZ
125,Navajo County,4017.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,AZ
128,Pima County,4019.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,132.0,AZ
129,Pima County,4019.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,23.0,AZ
133,Pinal County,4021.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,AZ
137,Yavapai County,4025.0,2004.0,2004.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0,AZ
138,Yavapai County,4025.0,2004.0,2004.0,Drug poisonings (overdose) Suicide (X60-X64),D2,12.0,AZ
139,Yavapai County,4025.0,2004.0,2004.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,12.0,AZ
